"Repair","Reparatur"
"Warranty","Gewährleistung"
"Search entire store here...","Suchbegriff eingeben..."
"My Account","Mein Konto"
"My Cart","Warenkorb"

"Checkout","Zur Kasse"
"Proceed to Checkout","Weiter zur Kasse"
"Log In","Anmeldung"
"Log Out","Abmelden"
"Company Profile","ÜBER UNS"
"Service and Support","Service und Support"
"Related Products","verwandte produkte"
"Sort By","Sortierung"
"per page","je Seite"
"Show","Zeige"
"View as: ","Anzeige als"
"Shopping Cart is Empty","Sie haben keine Produkte in Ihrem Warenkorb"
"Categories","Alle Kategorien"
"Refurbished to Manufacturer specification","Generalüberholtes Gebrauchtgerät"
"Extended Warranty Available","Verlängerung der Gewährleistung gegen Aufpreis möglich"
"Please call us for any questions related to this item.","Bitte rufen Sie uns bei etwaigen Fragen zu diesem Produkt an"
"Turn around time 3-5 days","Durchlaufzeit 3-5 Arbeitstage"
"Available in 2 to 3 days","Verfügbar in 2-3 Tagen"
"Depot Repair","Depot Reparatur"
"Free Cost Estimates ","Kostenfreie Kostenvoranschläge"
"please add our repair order when you send us your device","Bitte legen Sie dem Gerät unseren <a href="http://www.top10ten.de/fileadmin/pdfs/07-Reparaturauftrag-D.pdf target="_blank" class="download">Reparaturauftrag</a> bei
"Server","Server"
"You have no items in your shopping cart.","Es sind keine Produkte in Ihrem Warenkorb"
"New Customers","Neukunde"
"Login or Create an Account","Anmeldung oder Erstellung eines neuen Kundenkontos"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Erstellen Sie sich einen Account in unserem Online Shop und nutzen Sie zahlreiche Vorteile."
"Registered Customers","Bestandskunde"
"If you have an account with us, please log in.",""
"* Required Fields","* Pflichtfelder"
"Forgot Your Password?","Sie haben Ihr Passwort vergessen?"
"Create an Account","Konto erstellen"
"Login","Anmelden"
"Email Address","Geben Sie Ihre E-Mail-Adresse ein"
"Password","Passwort"
"Personal Information","Bitte tragen Sie Ihre persönlichen Daten ein"
"Prefix","Anrede:"
"First Name","Vorname"
"Last Name","Nachname"
"Tax/VAT number","USt-IdNr."
"Login Information","Passwort"
"Confirm Password","Passwort Wiederholung"
"Submit","Übermitteln"
"Mr","Herr"
"Ms","Frau"
"Mrs",""
"Retrieve your password here","Passwort anfordern"
"Please enter your email address below. You will receive a link to reset your password.","Bitte tragen Sie Ihre E-Mail Adresse ein. Sie erhalten einen Link um Ihr Passwort zurück zusetzen."
"Reset a Password","Passwort zurücksetzen"
"New Password","Neues Passwort"
"Confirm New Password","Neues Passwort bestätigen"
"Reset a Password","Passwort zurücksetzen"
"Your password has been updated.","Ihr Passwort wurde aktualisiert"
"Your password reset link has expired.","Ihr Link für die Passwort Zurücksetzung ist nicht mehr gültig."
"Account Dashbord",""
"Account Information","Konto Informationen"
"My Orders","Ihre Bestellungen"
"Edit","Ändern"
"Change Password","Passwort Ändern"
"Edit Address","Adresse Ändern"
"Manage Addresses","Adressen verwalten"
"Contact Information","Kontakt Informationen"
"Address Book","Adressbuch"
"Account Dashboard","Konto Übersicht"
"My Dashboard","Ihre Konto Übersicht"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","In Ihrer Kontoübersicht haben Sie die Möglichkeit Ihre Konto Informationen zu ändern und Ihre Kontoaktivitäten einzusehen."
"Default Billing Address","Standard Rechnungsadresse"
"Default Shipping Address","Standard Lieferadresse"
"You have not set a default billing address.","Sie haben keine Rechnungsadresse hinterlegt"
"You have not set a default shipping address.","Sie haben keine Lieferadresse hinterlegt"
"Additional Address Entries","Zusätzliche Adressen"
"You have no additional address entries in your address book.","Sie haben keine zusätzlichen Adressen hinterlegt."
"Save Address","Adresse speichern"
"Use as my default billing address","Als Rechnungsadresse verwenden"
"Use as my default shipping address","Als Lieferadresse verwenden"
"The address has been saved.","Die Adresse wurde gespeichert"
"Default Addresses","Standard Adresse"
"Change Billing Address","Rechnungsadresse ändern"
"Change Shipping Address","Lieferadresse ändern"
"Delete Address","Adresse löschen"
"Edit Account Information","Konto Informationen bearbeiten"
"Save","Speichern"
"Add New Address","Neue Adresse hinzufügen"
"Address","Adresse"
"Street Address","Strasse"
"City","Stadt"
"State/Province","Bundesland"
"Zip/Postal Code","Postleitzahl"
"Country","Land"
"Save Adress","Adresse speichern"
"Company","Firma"
"Telephone","Telefon"
"Fax","Fax"
"You have placed no orders.","Sie haben noch keine Bestellung getätigt."
"Recently Viewed Products","Zuletzt aufgerufene Produkte"
"Recurring Profiles","Wiederkehrende Profile"
"There are no recurring profiles yet.","Keine Wiederkehrenden Profile vorhanden"
"Billing Agreements","Zahlungsbedingungen"
"There are no billing agreements yet.","Keine Zahlungsbedingungen vorhanden."
"Billing Information","Rechnungsinformationen"
"Shipping Information","Versandinformationen"
"Shipping Method","Versandart"
"Payment Information","Zahlungsinformationen"
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus Ihrem Adressbuch, oder fügen Sie eine neue Adresse hinzu."
"Ship to this address","An diese Adresse versenden"
"Ship to different address","An eine andere Adresse versenden"
"Continue","Fortfahren"

"Order Review","Prüfen der Bestellung"
"Add to Cart","Zum Warenkorb"
"Qty in Stock:","Anzahl auf Lager:"
"Qty:","Stk:"
"was added to your shopping cart.","wurde Ihrem Warenkorb hinzugefügt"
"Shopping Cart","Warenkorb"
"Product Name","Produkt Name"
"Unit Price","Stückpreis"
"Qty","Stk"
"Subtotal","Zwischensumme"
"Cart Subtotal:","Zwischensumme"
"Recently added item(s)","Hinzugefügte Artikel"

"Continue Shopping","Weiter Einkaufen"
"Update Shopping Cart","Warenkorb aktualisieren"
"Clear Shopping Cart","Warenkorb leeren"
"Tax","MwSt"
"Grand Total","Gesamtsumme"
"Grand Total (Excl. Tax)","Gesamtsumme exkl. Steuern"
"Grand Total (Incl. Tax)","Gesamtsumme inkl. Steuern"
"Grand Total Excl. Tax","Gesamtsumme exkl. Steuern"
"Grand Total Incl. Tax","Gesamtsumme inkl. Steuern"
"Grand Total (Excl.Tax)","Gesamtsumme exkl. Steuern"
"Grand Total (Incl.Tax)","Gesamtsumme inkl. Steuern"
"Shipping & Handling","Versandkosten"
"Flat Rate","Pauschale"
"Fixed","Festpreis"
"Your order has been received.","Wir haben Ihren Auftrag erhalten"
"Thank you for your purchase!","Vielen Dank für Ihre Bestellung!"
"Your order # is:","Ihre Bestellnummer ist:"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie erhalten gleich eine Auftragsbestätigung per E-Mail.
"Recent Orders","Kürzliche Bestellungen"
"View All","Alle anzeigen"
"Order #","Bestellnr."
"Date","Datum"
"Ship To","Versand an"
"Order Total","Bestellwert"
"Status","Status"
"View Order","Bestellung ansehen"
"Last Ordered Items","Letzer bestellter Artikel"
"Shop By","einkaufen nach"
"Price","Preis"
"Manufacturer","Hersteller"
"There are no products matching the selection.","Es sind keine Artikel verfügbar"
"Repair of,""Reparatur von"
"Contact Us","Kontakt"
"comment","Kommentar"
"We can change the firmware to suit your needs","Wir passen die Firmware nach Ihren Wünschen an"
-------------------------------
"Send confirmation link",""
"Retrieve your confirmation link here",""
"Please enter your email below and we'll send you confirmation link for it.",""
"My Quote","Ihre Anfragen"
"You have no items in your quote.","Sie haben keine offenen Anfragen."
"Submit Quote","Anfrage senden"
"There are <a href=""%s"">%s items</a> in your cart.","Sie haben <a href=""%s"">%s Artikel</a> in Ihrem Warenkorb."
"There is <a href=""%s"">1 item</a> in your cart.","Sie haben <a href=""%s""><strong>1 Artikel</strong></a> in Ihrem Warenkorb."
"There is <a href=""%s"">1 item</a> in your quote.","Sie haben <a href=""%s"">1 Artikel</a> in Ihren Anfragen."
"There are <a href=""%s"">%s items</a> in your quote.","Sie haben <a href=""%s"">%s Artikel</a> in Ihren Anfragen."
"Edit item","Artikel ändern"
"Remove","Entfernen"
"Click <a href="%s">here</a> to continue shopping.","Klicken Sie <a href="%s">hier</a> um weiter einzukaufen."
"Copy to Quotation","Als Preisanfrage buchen"
"Learn More","Details"
"Your Checkout Progress","Ihr Bestellvorgang"
"Billing Address","Rechnungsadresse"
"Payment Method","Zahlungsart" 
"Change","Ändern"
"Forgot an Item?","Artikel vergessen?"
"Edit Your Cart","Warenkorb anpassen" 
"Place Order","Bestellung übermitteln"
"Please agree to all the terms and conditions before placing the order.","Bitte bestätigen Sie unsere Allgemeinen Geschäftsbedingungen, bevor Sie uns die Bestellung senden."
"Submitting order information...","Übermittlung der Bestellung..."
"Loading next step...","Nächster Schritt wird geladen..."
"You are now logged out","Sie wurden erfolgreich abgmeldet"
"You have logged out and will be redirected to our homepage in 5 seconds.","Sie haben sich abgemeldet und werden in 5 Sekunden auf unsere Startseite weitergeleitet"
"Recent Orders","Aktuelle Bestellungen"
"Resubmit Quote","Anfrage erneut versenden"
"Print Quote","Anfrage drucken"
"Back","Zurück"
"Mr","Herr"
"Imprint","Impressum"
"Terms Of Use","AGB"
"Privacy Policy","Datenschutzerklärung"
"About Us","Über Uns"
"Company Overview","Über Uns"
"Service & Support","Service und Support"
"Service & Support","Service und Support"
"Repairs","Reparaturen"
"About Top Ten","Über TOP TEN"
"Storage Medium","Speichermedien"
"Cables","Kabel"
"Spare Parts","Ersatzteile"
"Accessories","Zubehör"
"Tape Drives","Bandlaufwerke"
"Back to Login","Zurück zum Login"
"All prices are excluding tax","Alle Preise sind exkl. MwSt"
"Select Shipping Method","Wählen Sie die gewünschte Versandart"
"Standard Delivery","Normalversand - 2-3 Tage"
"Express Delivery","Expressversand - 24 Stunden"
"Checkout Method","Bestellabwicklung"
"Your Language:","Sprachauswahl:"
"Over 8.500 items in stock","Über 8.500 Geräte ab Lager verfügbar"
"Refurbished to Manufacturer Specification","Generalüberholt nach Hersteller-Spezifikationen"
"From DAT/SDLT/LTO to enterprise solutions","von DAT/SDLT/LTO bis Enterprise Solutions"
"Repair, Sale and advanced exchanges","Reparatur, Verkauf und Vorabaustausch Service "
"English","Englisch"
"Italian","Italienisch"
"French","Französisch"
"Spanish","Spanisch"
"German","Deutsch"
"Contact Us","Kontakt"
"Excl. Tax","Ohne MwSt."
"Quote For","Anfrage für"
"Maintenance","Wartung"
"Buy","Einkauf"
"Upgrade","Upgrade"
"Rental","Miete"
