"Repair","Reparación"
"Warranty","Garantía"
"Search entire store here...","Buscar en toda la tienda aquí..."
"My Account","Mi Cuenta"
"My Cart","Mi carrito"
"Checkout","Caja"
"Proceed to Checkout","Ir a la caja"
"Log In","Registro"
"Log Out","Finalizar la sesión"
"Company Profile","Perfil de la empresa"
"Service and Support","Servicio y Soporte"
"Related Products","Productos relacionados"
"Sort By","Ordenar por"
"per page","por página"
"Show","Mostrar"
"View as: ","Ver como:"
"Shopping Cart is Empty","No tiene artículos en su carrito de la compra"
"Categories","Nuestras categorías"
"Refurbished to Manufacturer specification","Revisado a las especificaciones del fabricante"
"Extended Warranty Available","Garantía extendida disponible"
"Please call us for any questions related to this item.","Por favor, llámenos para cualquier pregunta relacionada con este tema."
"Turn around time 3-5 days","El plazo de entrega es de 3-5 días"
"Available in 2 to 3 days","Disponible dentro de 2 ó 3 días"
"Depot Repair","Reparación en depósito"
"Free Cost Estimates ","Estimación de costos gratuita"
"please add our repair order when you send us your device","Por favor adjunte nuestro encargo de reparación cuando nos envía su dispositivo" 
"Server","Servidor"
"You have no items in your shopping cart.","No hay artículos en su carrito de la compra"
"New Customers","Cliente nuevo"
"Login or Create an Account","Entrar en su cuenta o crear una cuenta nueva"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Cree una cuenta en nuestra tienda on-line y disfrute de numerosas ventajas."
"Registered Customers","Cliente registrado"
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, por favor entre en ella"
"* Required Fields","* campos obligatorios"
"Forgot Your Password?","¿Ha olvidado su contraseña?"
"Create an Account","Crear una cuenta"
"Login","Iniciar sesión"
"Email Address","Introduzca su dirección de e-mail"
"Password","Contraseña"
"Personal Information","Por favor introduzca sus datos personales"
"Prefix","Tratamiento:"
"First Name","Nombre"
"Last Name","Apellidos"
"Tax/VAT number","CIF/ VAT ID"
"VAT Number","CIF/ VAT ID"
"Login Information","Contraseña"
"Confirm Password","Repetir contraseña"
"Submit","Transmitir datos"
"Mr","Sr."
"Ms","Sra."
"Retrieve your password here","Solicitar contraseña"
"Please enter your email address below. You will receive a link to reset your password.","Por favor introduzca su dirección de e-mail y le enviaremos un enlace para que pueda resetear su contraseña."
"Reset a Password","Resetear contraseña"
"New Password","Contraseña nueva""
"Confirm New Password","Confirmar contraseña nueva"
"Reset a Password","Resetear contraseña"
"Your password has been updated.","Su contraseña ha sido actualizada"
"Your password reset link has expired.","El enlace para resetear su  contraseña ha expirado."
"Account Dashboard","Resumen de la cuenta"
"Account Information","Información de la cuenta"
"My Orders","Mis pedidos"
"Edit","Editar"
"Change Password","Modificar contraseña"
"Edit Address","Editar dirección"
"Manage Addresses","Administrar direcciones"
"Contact Information","Datos de contacto"
"Address Book","Libreta de direcciones"
"Account Dashboard","Resumen de la cuenta"
"My Dashboard","Resumen de mi cuenta"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","En el resumen de su cuenta tiene la posibilidad de consultar y modificar los datos de su cuenta."
"Default Billing Address","Dirección de facturación estándar"
"Default Shipping Address","Dirección de entrega estándar"
"You have not set a default billing address.","No ha determinado ninguna dirección de facturación"
"You have not set a default shipping address.","No ha determinado ninguna dirección de entrega"
"Additional Address Entries","Direcciones adicionales"
"You have no additional address entries in your address book.","No ha determinado ninguna dirección adicional."
"Save Address","Guardar dirección"
"Use as my default billing address","Usar como dirección de facturación"
"Use as my default shipping address","Usar como dirección de entrega"
"The address has been saved.","La dirección ha sido guardada."
"Default Addresses","Dirección estándar"
"Change Billing Address","Modificar la dirección de facturación"
"Change Shipping Address","Modificar la dirección de entrega"
"Delete Address","Borrar dirección"
"Edit Account Information","Modificar los datos de la cuenta"
"Save","Guardar"
"Add New Address","Añadir una nueva dirección"
"Address","Dirección"
"Street Address","Calle"
"City","Localidad"
"State/Province","Comunidad Autónoma"
"Zip/Postal Code","Código postal"
"Country","País"
"Save Adress","Guardar dirección"
"Company","Empresa"
"Telephone","Teléfono"
"Fax","Fax"
"You have placed no orders.","Aún no ha realizado ningún pedido."
"Recently Viewed Products","Productos vistos recientemente"
"Recurring Profiles","Perfiles recurrentes"
"There are no recurring profiles yet.","No hay perfiles recurrentes"
"Billing Agreements","Condiciones de pago"
"There are no billing agreements yet.","No hay condiciones de pago establecidos."
"Billing Information","Detalles de facturación"
"Shipping Information","Detalles de envíos"
"Shipping Method","Forma de envío"
"Payment Information","Informaciones de pagos"
"Select a billing address from your address book or enter a new address".,"Seleccione una dirección de facturación de su libreta de direcciones, o añade una dirección  nueva."
"Ship to this address","Enviar a esta dirección"
"Ship to different address","Enviar a una dirección diferente"
"Continue","Continuar"
"Order Review", "Resumen de pedidos"
"Add to Cart","Al carrito de la compra"
"Qty in Stock:","Unidades en stock:"
"Qty":,"Cant.:"
"was added to your shopping cart.","ha sido añadido a su carrito de la compra"
"Shopping Cart","Carrito de la compra"
"Product Name","Nombre del producto"
"Unit Price","Precio por unidad"
"Qty","Cantidad"
"Subtotal","Suma parcial"
"Cart Subtotal:","Suma parcial"
"Recently added item(s)","Artículos añadidos recientemente"
"Continue Shopping","Continuar comprando"
"Update Shopping Cart","Actualizar el carrito de la compra"
"Clear Shopping Cart","Vaciar el carrito de la compra"
"Tax","IVA 19%"
"Grand Total","Importe total"
"Grand Total Excl. Tax","Importe total impuestos excluidos"
"Grand Total Incl. Tax","Importe total impuestos incluidos"
"Grand Total (Excl. Tax)","Importe total impuestos excluidos"
"Grand Total (Incl. Tax)","Importe total impuestos incluidos"
"Grand Total (Excl.Tax)","Importe total impuestos excluidos"
"Grand Total (Incl.Tax)","Importe total impuestos incluidos"
"Flat Rate","Importe global"
"Fixed","Precio fijo"
"Your order has been received.","Hemos recibido su pedido."
"Thank you for your purchase!","Le agradecemos su pedido."
"Your order # is:","Su número de pedido es:"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá una confirmación de su pedido por e-mail."
"Recent Orders","Pedidos recientes"
"View All","Mostrar todos"
"Order #","Número de pedido"
"Date","Fecha"
"Ship To","Enviar a "
"Order Total","Importe del pedido"
"Status","Estado"
"View Order","Ver pedido"
"Last Ordered Items","Último artículo comprado"
"Shop By","Comprar por"
"Price","Precio"
"Manufacturer","Fabricante"
"There are no products matching the selection.","No hay artículos disponibles"
"Repair of","Reparación de"
"Contact Us","Contacto"
"comment","Comentario"
"We can change the firmware to suit your needs","Adaptamos el firmware según sus necesidades"
-----------------

"My Quote","Mis consultas"
"My Quote (1 item)","Test"
"You have no items in your quote.","No tiene consultas pendientes."
"Submit Quote","Enviar consulta"
"There are <a href=""%s"">%s items</a> in your cart.","Tiene <a href=""%s"">%s artículos</a> en su carrito."
"There is <a href=""%s"">1 item</a> in your cart.","Tiene <a href=""%s"">1 artículos</a> en su carrito."
"There is <a href=""%s"">1 item</a> in your quote.","Tiene <a href=""%s"">1 producto</a> en sus consultas."
"There are <a href=""%s"">%s items</a> in your quote.","Tiene <a href=""%s"">%s productos</a> en sus consultas."
"Edit item","Modificar producto"
"Remove","Eliminar"
"Click <a href="%s">here</a> to continue shopping.","Haga clic <a href="%s">aquí</a> para seguir comprando."
"Copy to Quotation","Añadir para consultar el precio"
"Learn More","Más información"
"Your Checkout Progress","Tramitación de su pedido"
"Billing Address","Dirección de facturación"
"Payment Method","Forma de pago" 
"Change","Modificar"
"Forgot an Item?","Quiere añadir otro artículo?"
"Edit Your Cart","Editar cesta" 

"Place Order","Tramitar pedido"
"Please agree to all the terms and conditions before placing the order.","Por favor acepte nuestras Condiciones Generales antes de confirmar su pedido."
"Submitting order information...","Transmisión del pedido..."
"Loading next step...","Cargando el siguiente paso..."
"You are now logged out","Ha finalizado su sesión"
"You have logged out and will be redirected to our homepage in 5 seconds.","Ha finalizado la sesión y será redirigido a nuestra página de inicio dentro de 5 segundos."
"Recent Orders","Pedidos en curso"
"Resubmit Quote","Volver a enviar consulta"
"Print Quote","Imprimir consulta"
"Back","Atrás"
"Mr","Sr."
"Imprint","Aviso legal"
"Terms Of Use","Condiciones Generales"
"Privacy Policy","Privacidad"
"About Us","Quienes somos"
"Company Overview","Quienes somos"
"Service & Support","Servicios y soporte"
"Repairs","Reparaciones"
"About Top Ten","Acerca de TOP TEN"
"Storage Medium","Cartuchos de datos"
"Cables","Cables"
"Spare Parts","Piezas de recambio" 
"Accessories","Accesorios"
"Tape Drives","Unidades de cinta"
"All prices are excluding tax","Precios sin IVA"
"Select Shipping Method","Seleccione la forma de envío"
"Standard Delivery","Envío estándar"
"Express Delivery","Envío urgente"
"Update Cart","Actualizar carrito"
"Over 8.500 items in stock","Más de 8.500 dispositivos en stock"
"Refurbished to Manufacturer Specification","Revisados a las especificaciones de los fabricantes "
"From DAT/SDLT/LTO to enterprise solutions","De DAT/SDLT/LTO a Enterprise Solutions"
"Repair, Sale and advanced exchanges","Reparación, venta, intercambio previo de equipos"
"+49 89 8996160","+34 91 123 84 60"
"English","Inglés"
"Italian","Italiano"
"French","Francés"
"Spanish","Español"
"German","Alemán"
"Quote For","Presupuesto para"

"Excl. Tax","Sin IVA" 
