"Repair","Réparation"
"Warranty","Garantie"
"Search entire store here...","Entrez un terme de recherche..."
"My Account","Mon Compte"
"My Cart","Panier"

"Checkout","Caisse"
"Proceed to Checkout","Commander"
"Log In","Connexion"
"Log Out","Déconnexion"
"Company Profile","Qui sommes-nous"
"Service and Support","Service et assistance"
"Related Products","produits associés"
"Sort By","Trier par"
"per page","par page"
"Show","Montrer"
"View as: ","Afficher en:"
"Shopping Cart is Empty","Le panier est vide"
"Categories","Catégories"
"Refurbished to Manufacturer specification","Remis à neuf aux normes du fabricant"
"Extended Warranty Available","Prolongement de la garantie en option"
"Please call us for any questions related to this item.","Veuillez nous appeler pour toutes questions relatives à cet article."
"Turn around time 3-5 days","Temps de préparation : 3-5 jours"
"Available in 2 to 3 days","Disponible en 2 à 3 jours"
"Depot Repair","Depôt Réparation"
"Free Cost Estimates ","Devis gratuits"
"please add our repair order when you send us your device","veuillez joindre notre <a href="http://www.top10ten.fr/fileadmin/pdfs/07-Reparaturauftrag-E_01.pdf target="_blank" class="download">ordre de réparation</a> à l'appareil envoyé"
"Server","Serveur"
"You have no items in your shopping cart.","Votre panier est vide."
"New Customers","Nouveau Clients"
"Login or Create an Account","Connectez-vous ou ouvrez un compte"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ouvrez gratuitement un compte dans notre boutique en ligne et bénéficiez de nombreux avantages."
"Registered Customers","Clients enregistrés"
"If you have an account with us, please log in.","Si vous avez un compte, veuillez vous identifier."
"* Required Fields","* Champs obligatoires"
"Forgot Your Password?","Mot de passe oublié?"
"Create an Account","Ouvrir un compte"
"Login","Login"
"Email Address","Saisir votre adresse e-mail"
"Password","Mot de passe"
"Personal Information","Données personnelles"
"Prefix","Indicatif:"
"First Name","Prénom"
"Last Name","Nom de famille"
"Tax/VAT number","Numéro de TVA intracommunautaire."
"Login Information","Mot de passe"
"Confirm Password","Confirmer le mot de passe"
"Submit","Soumettre"
"Mr","M."
"Ms","Mme"
"Mrs","Mme"
"Retrieve your password here","Récupérez votre mot de passe ici"
"Please enter your email address below. You will receive a link to reset your password.","Veuillez saisir ci-dessous votre adresse email. Vous recevrez un lien pour réinitialiser votre mot de passe."
"Reset a Password","Réinitialiser un mot de passe"
"New Password","Nouveau mot de passe"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Your password has been updated.","Votre mot de passe a été actualisé."
"Your password reset link has expired.","Le lien de réinitialisation du mot de passe a expiré."
"Account Dashbord","Tableau de bord"
"Account Information","Informations sur le compte"
"My Orders","Mes commandes"
"Edit","Modifier"
"Change Password","Changer le mot de passe"
"Edit Address","Modifier l'adresse"
"Manage Addresses","Gérer les adresses"
"Contact Information","Coordonnées"
"Address Book","Carnet d'adresses"
"Account Dashboard","Tableau de bord du compte"
"My Dashboard","Mon tableau de bord"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Depuis le tableau de bord, vous pouvez modifier vos informations et consulter l'activité de votre compte."
"Default Billing Address","Adresse de facturation par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"You have not set a default billing address.","Vous n'avez pas défini d'adresse de facturation par défaut."
"You have not set a default shipping address.","Vous n'avez pas défini d'adresse de livraison par défaut."
"Additional Address Entries","Entrées d'adresses supplémentaires"
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées d'adresses supplémentaires dans votre carnet d'adresses."
"Save Address","Sauvegarder l'adresse"
